wikidata,local_id,osm_id,geom,wikidataLabel
http://www.wikidata.org/entity/Q1803114,1101450,325850,Point(-61.601388888 -12.196111111),Parecis
http://www.wikidata.org/entity/Q1803105,1101468,325885,Point(-61.046666666 -13.4825),Pimenteiras do Oeste
http://www.wikidata.org/entity/Q1802123,1101476,325878,Point(-61.322777777 -11.816944444),Primavera de Rondônia
http://www.wikidata.org/entity/Q1803269,1101484,325877,Point(-61.502222222 -11.9025),São Felipe d'Oeste
http://www.wikidata.org/entity/Q1802095,1101492,325851,Point(-63.5675 -12.052222222),São Francisco do Guaporé
http://www.wikidata.org/entity/Q727950,1101500,325867,Point(-63.031111111 -11.798055555),Seringueiras
http://www.wikidata.org/entity/Q1802088,1101559,325861,Point(-62.249444444 -10.9175),Teixeirópolis
http://www.wikidata.org/entity/Q647208,1101609,325886,Point(-62.3583 -10.2389),Theobroma
http://www.wikidata.org/entity/Q2089326,1101708,325884,Point(-62.360833333 -11.140555555),Urupá
http://www.wikidata.org/entity/Q1807445,1101757,325868,Point(-62.185555555 -9.863055555),Vale do Anari
http://www.wikidata.org/entity/Q2013187,1101807,325869,Point(-62.134166666 -10.447777777),Vale do Paraíso
http://www.wikidata.org/entity/Q953086,1200013,326273,Point(-66.882777777 -9.827777777),Acrelândia
http://www.wikidata.org/entity/Q1754403,1200054,326269,Point(-69.5825 -10.911388888),Assis Brasil
http://www.wikidata.org/entity/Q899406,1200104,326270,Point(-68.747777777 -11.01),Brasileia
http://www.wikidata.org/entity/Q1754408,1200138,326259,Point(-67.951944444 -9.830833333),Bujari
http://www.wikidata.org/entity/Q1800737,1200179,326268,Point(-67.675833333 -10.572777777),Capixaba
http://www.wikidata.org/entity/Q941136,1200203,326274,Point(-72.67 -7.630833333),Cruzeiro do Sul
http://www.wikidata.org/entity/Q1755395,1200252,326256,Point(-68.735277777 -11.017777777),Epitaciolândia
http://www.wikidata.org/entity/Q1994833,1200302,326258,Point(-70.353888888 -8.163888888),Feijó
http://www.wikidata.org/entity/Q1800793,1200328,326252,Point(-71.883888888 -9.433888888),Jordão
http://www.wikidata.org/entity/Q1772621,1200336,326262,Point(-72.895833333 -7.613888888),Mâncio Lima
http://www.wikidata.org/entity/Q1772688,1200344,326271,Point(-69.26 -8.838888888),Manoel Urbano
http://www.wikidata.org/entity/Q1772613,1200351,326257,Point(-72.791944444 -8.940833333),Marechal Thaumaturgo
http://www.wikidata.org/entity/Q964075,1200385,326267,Point(-67.15 -10.275833333),Plácido de Castro
http://www.wikidata.org/entity/Q1772588,1200393,326264,Point(-72.743888888 -8.268888888),Porto Walter
http://www.wikidata.org/entity/Q171612,1200401,326253,Point(-67.811666666 -9.978055555),Rio Branco
http://www.wikidata.org/entity/Q1800776,1200427,326254,Point(-72.646944444 -7.741944444),Rodrigues Alves
http://www.wikidata.org/entity/Q1772719,1200435,326272,Point(-70.492777777 -9.432777777),Santa Rosa do Purus
http://www.wikidata.org/entity/Q771763,1200450,326261,Point(-67.73741 -10.1497),Senador Guiomard
http://www.wikidata.org/entity/Q1754389,1200500,326263,Point(-68.656944444 -9.065833333),Sena Madureira
http://www.wikidata.org/entity/Q979910,1200609,326255,Point(-70.765833333 -8.160833333),Tarauacá
http://www.wikidata.org/entity/Q1012531,1200708,326260,Point(-68.503888888 -10.651944444),Xapuri
http://www.wikidata.org/entity/Q1772602,1200807,326265,Point(-67.532777777 -9.587777777),Porto Acre
http://www.wikidata.org/entity/Q1808573,1300029,332499,Point(-64.833333333 -3.2),Alvarães
http://www.wikidata.org/entity/Q1772609,1300060,332512,Point(-68.197777777 -3.363888888),Amaturá
http://www.wikidata.org/entity/Q974915,1300086,332497,Point(-61.403888888 -3.58),Anamã
http://www.wikidata.org/entity/Q657461,13001,1343457,Point(-75.525277777 10.423611111),Cartagena de Indias
http://www.wikidata.org/entity/Q931090,1300102,332474,Point(-61.644166666 -3.772777777),Anori
http://www.wikidata.org/entity/Q1112525,1300144,332502,Point(-59.890833333 -7.196944444),Apuí
http://www.wikidata.org/entity/Q1793319,1300201,332473,Point(-70.191944444 -4.371944444),Atalaia do Norte
http://www.wikidata.org/entity/Q1772695,1300300,332503,Point(-59.119722222 -3.586388888),Autazes
http://www.wikidata.org/entity/Q807939,1300409,332478,Point(-62.923888888 -0.975),Barcelos (Amazonas)
http://www.wikidata.org/entity/Q1772565,1300508,332522,Point(-57.068611111 -2.8025),Barreirinha
http://www.wikidata.org/entity/Q933580,13006,1335177,Point(-74.556111111 8.569166666),Achí
http://www.wikidata.org/entity/Q1767926,1300607,332518,Point(-70.03179 -4.37555),Benjamin Constant
http://www.wikidata.org/entity/Q584172,1300631,332513,Point(-61.371388888 -3.902222222),Beruri
http://www.wikidata.org/entity/Q940548,1300680,332464,Point(-57.59 -2.97),Boa Vista do Ramos
http://www.wikidata.org/entity/Q1793334,1300706,332492,Point(-67.397777777 -8.751944444),Boca do Acre
http://www.wikidata.org/entity/Q2089660,1300805,332495,Point(-59.593888888 -4.387777777),Borba
http://www.wikidata.org/entity/Q945469,1300839,332501,Point(-61.2 -3.316666666),Caapiranga
http://www.wikidata.org/entity/Q1807050,1300904,332480,Point(-64.382777777 -6.533888888),Canutama
http://www.wikidata.org/entity/Q1794236,1301001,332496,Point(-66.895833333 -4.882777777),Carauari
http://www.wikidata.org/entity/Q1751325,1301100,332515,Point(-60.368888888 -3.767777777),Careiro
http://www.wikidata.org/entity/Q1807045,1301159,332462,Point(-59.825833333 -3.220833333),Careiro da Várzea
